
Parameters:
ALLOW_SOFT_PLACEMENT=True
BATCH_SIZE=64
CHECKPOINT_EVERY=100
DEV_SAMPLE_PERCENTAGE=0.1
DROPOUT_KEEP_PROB=0.5
EMBEDDING_DIM=128
EVALUATE_EVERY=100
FILTER_SIZES=2,3,4,5,6
L2_REG_LAMBDA=0.0
LOG_DEVICE_PLACEMENT=False
NEGATIVE_DATA_FILE=./data/rt-polaritydata/rt-polarity.neg
NUM_CHECKPOINTS=5
NUM_EPOCHS=200
NUM_FILTERS=128
POSITIVE_DATA_FILE=./data/rt-polaritydata/rt-polarity.pos

Loading data...
636 max_document
(10002, 636)
Train/Dev split: 9002/1000
Number of Class: 3
Writing to /home/g/grad/xinhao/IE_Project/runs/1494194564

2017-05-07T18:08:56.000535: step 108, loss 0.983739, acc 0.515625
2017-05-07T18:08:59.262130: step 109, loss 0.826006, acc 0.671875
2017-05-07T18:09:02.522345: step 110, loss 1.10326, acc 0.546875
2017-05-07T18:09:05.789094: step 111, loss 0.972556, acc 0.59375
2017-05-07T18:09:09.036606: step 112, loss 1.04301, acc 0.5
2017-05-07T18:09:12.254428: step 113, loss 0.717838, acc 0.75
2017-05-07T18:09:15.473047: step 114, loss 1.50148, acc 0.53125
2017-05-07T18:09:18.767815: step 115, loss 1.01874, acc 0.578125
2017-05-07T18:09:22.077417: step 116, loss 0.929843, acc 0.71875
2017-05-07T18:09:25.297954: step 117, loss 0.964261, acc 0.640625
2017-05-07T18:09:28.511271: step 118, loss 1.09636, acc 0.5
2017-05-07T18:09:31.723488: step 119, loss 0.901136, acc 0.609375
2017-05-07T18:09:34.964236: step 120, loss 0.882155, acc 0.625
2017-05-07T18:09:38.216570: step 121, loss 0.880538, acc 0.671875
2017-05-07T18:09:41.471470: step 122, loss 0.885855, acc 0.65625
2017-05-07T18:09:44.726994: step 123, loss 0.94152, acc 0.625
2017-05-07T18:09:47.994240: step 124, loss 0.846851, acc 0.65625
2017-05-07T18:09:51.263191: step 125, loss 0.939375, acc 0.640625
2017-05-07T18:09:54.494289: step 126, loss 0.968949, acc 0.515625
2017-05-07T18:09:57.745219: step 127, loss 0.972658, acc 0.625
2017-05-07T18:10:01.030453: step 128, loss 0.974216, acc 0.609375
2017-05-07T18:10:04.314039: step 129, loss 0.8011, acc 0.65625
2017-05-07T18:10:07.555142: step 130, loss 1.02439, acc 0.59375
2017-05-07T18:10:10.818477: step 131, loss 0.79793, acc 0.671875
2017-05-07T18:10:14.043820: step 132, loss 0.750569, acc 0.703125
2017-05-07T18:10:17.304016: step 133, loss 0.854536, acc 0.671875
2017-05-07T18:10:20.568661: step 134, loss 0.818119, acc 0.703125
2017-05-07T18:10:23.813322: step 135, loss 0.965283, acc 0.5625
2017-05-07T18:10:27.059406: step 136, loss 0.966638, acc 0.640625
2017-05-07T18:10:30.329014: step 137, loss 0.91085, acc 0.609375
2017-05-07T18:10:33.552098: step 138, loss 0.763063, acc 0.703125
2017-05-07T18:10:36.804764: step 139, loss 0.82119, acc 0.703125
2017-05-07T18:10:40.032813: step 140, loss 1.00629, acc 0.578125
2017-05-07T18:10:42.155500: step 141, loss 0.976857, acc 0.47619
2017-05-07T18:10:45.393802: step 142, loss 0.918919, acc 0.671875
2017-05-07T18:10:48.664243: step 143, loss 0.850918, acc 0.640625
2017-05-07T18:10:51.900244: step 144, loss 0.865979, acc 0.625
2017-05-07T18:10:55.142981: step 145, loss 0.778095, acc 0.734375
2017-05-07T18:10:58.417607: step 146, loss 0.887926, acc 0.640625
2017-05-07T18:11:01.636987: step 147, loss 0.77985, acc 0.671875
2017-05-07T18:11:04.905514: step 148, loss 0.877746, acc 0.703125
2017-05-07T18:11:08.177205: step 149, loss 0.922608, acc 0.609375
2017-05-07T18:11:11.449143: step 150, loss 0.819944, acc 0.671875
2017-05-07T18:11:14.657071: step 151, loss 0.88597, acc 0.671875
2017-05-07T18:11:17.938986: step 152, loss 0.83101, acc 0.625
2017-05-07T18:11:21.200517: step 153, loss 1.03906, acc 0.6875
2017-05-07T18:11:24.429935: step 154, loss 1.19608, acc 0.578125
2017-05-07T18:11:27.693694: step 155, loss 0.811358, acc 0.65625
2017-05-07T18:11:30.906783: step 156, loss 1.05723, acc 0.515625
2017-05-07T18:11:34.154474: step 157, loss 1.27129, acc 0.546875
2017-05-07T18:11:37.376854: step 158, loss 0.810636, acc 0.71875
2017-05-07T18:11:40.600001: step 159, loss 0.72957, acc 0.703125
2017-05-07T18:11:43.828462: step 160, loss 0.822438, acc 0.75
2017-05-07T18:11:47.086497: step 161, loss 0.827871, acc 0.71875
2017-05-07T18:11:50.335827: step 162, loss 0.713805, acc 0.71875
2017-05-07T18:11:53.583939: step 163, loss 0.871915, acc 0.671875
2017-05-07T18:11:56.842757: step 164, loss 0.876502, acc 0.578125
2017-05-07T18:12:00.118163: step 165, loss 1.03954, acc 0.296875
2017-05-07T18:12:03.405915: step 166, loss 0.775356, acc 0.703125
2017-05-07T18:12:06.613137: step 167, loss 0.79654, acc 0.703125
2017-05-07T18:12:09.835551: step 168, loss 0.903811, acc 0.65625
2017-05-07T18:12:13.076272: step 169, loss 0.824354, acc 0.78125
2017-05-07T18:12:16.344119: step 170, loss 1.02901, acc 0.65625
2017-05-07T18:12:19.565180: step 171, loss 0.831361, acc 0.75
2017-05-07T18:12:22.793401: step 172, loss 0.82364, acc 0.671875
2017-05-07T18:12:26.064885: step 173, loss 1.0484, acc 0.671875
2017-05-07T18:12:29.360486: step 174, loss 1.46714, acc 0.578125
2017-05-07T18:12:32.611999: step 175, loss 1.03177, acc 0.5625
2017-05-07T18:12:35.876207: step 176, loss 1.02067, acc 0.53125
2017-05-07T18:12:39.120500: step 177, loss 1.32737, acc 0.15625
2017-05-07T18:12:42.415019: step 178, loss 0.779725, acc 0.65625
2017-05-07T18:12:45.661522: step 179, loss 1.32609, acc 0.578125
2017-05-07T18:12:48.898422: step 180, loss 1.29327, acc 0.5625
2017-05-07T18:12:52.134096: step 181, loss 1.19374, acc 0.25
2017-05-07T18:12:55.388568: step 182, loss 0.89964, acc 0.78125
2017-05-07T18:12:58.600244: step 183, loss 0.930552, acc 0.671875
2017-05-07T18:13:01.882215: step 184, loss 1.06419, acc 0.609375
2017-05-07T18:13:05.125630: step 185, loss 1.11122, acc 0.5625
2017-05-07T18:13:08.376407: step 186, loss 1.11039, acc 0.484375
2017-05-07T18:13:11.639453: step 187, loss 0.82143, acc 0.71875
2017-05-07T18:13:14.915559: step 188, loss 1.00578, acc 0.609375
2017-05-07T18:13:18.191362: step 189, loss 0.863268, acc 0.703125
2017-05-07T18:13:21.447378: step 190, loss 0.825459, acc 0.703125
2017-05-07T18:13:24.735683: step 191, loss 0.838245, acc 0.703125
2017-05-07T18:13:27.989431: step 192, loss 0.868041, acc 0.6875
2017-05-07T18:13:31.226335: step 193, loss 0.804156, acc 0.640625
2017-05-07T18:13:34.458688: step 194, loss 0.893425, acc 0.484375
2017-05-07T18:13:37.696618: step 195, loss 1.16412, acc 0.53125
2017-05-07T18:13:40.927685: step 196, loss 0.984793, acc 0.625
2017-05-07T18:13:44.238322: step 197, loss 0.885976, acc 0.546875
2017-05-07T18:13:47.511840: step 198, loss 1.17968, acc 0.296875
2017-05-07T18:13:50.748879: step 199, loss 1.04036, acc 0.3125
2017-05-07T18:13:54.050406: step 200, loss 1.02888, acc 0.625

Evaluation:
2017-05-07T18:14:12.592816: step 200, loss 1.20604, acc 0.657

2017-05-07T18:14:15.848395: step 201, loss 1.45789, acc 0.578125
2017-05-07T18:14:19.110377: step 202, loss 1.07155, acc 0.6875
2017-05-07T18:14:22.360267: step 203, loss 1.36873, acc 0.453125
2017-05-07T18:14:25.605422: step 204, loss 0.771805, acc 0.765625
2017-05-07T18:14:28.856110: step 205, loss 1.16864, acc 0.5
2017-05-07T18:14:32.134447: step 206, loss 1.18698, acc 0.3125
2017-05-07T18:14:35.371976: step 207, loss 1.05021, acc 0.640625
2017-05-07T18:14:38.591021: step 208, loss 1.16757, acc 0.578125
2017-05-07T18:14:41.807887: step 209, loss 0.877657, acc 0.671875
2017-05-07T18:14:45.027551: step 210, loss 1.17445, acc 0.296875
2017-05-07T18:14:48.250774: step 211, loss 0.850421, acc 0.78125
2017-05-07T18:14:51.527371: step 212, loss 1.00843, acc 0.609375
2017-05-07T18:14:54.767853: step 213, loss 0.853411, acc 0.703125
2017-05-07T18:14:58.015301: step 214, loss 0.909123, acc 0.671875
2017-05-07T18:15:01.303288: step 215, loss 0.790537, acc 0.671875
2017-05-07T18:15:04.542170: step 216, loss 0.845564, acc 0.59375
2017-05-07T18:15:07.755226: step 217, loss 1.09463, acc 0.578125
2017-05-07T18:15:11.005403: step 218, loss 0.75723, acc 0.703125
2017-05-07T18:15:14.250431: step 219, loss 0.717396, acc 0.6875
2017-05-07T18:15:17.467623: step 220, loss 0.805795, acc 0.640625
2017-05-07T18:15:20.735652: step 221, loss 0.793909, acc 0.796875
2017-05-07T18:15:23.975386: step 222, loss 0.836033, acc 0.671875
2017-05-07T18:15:27.265807: step 223, loss 0.981213, acc 0.5625
2017-05-07T18:15:30.501359: step 224, loss 0.884114, acc 0.609375
2017-05-07T18:15:33.797320: step 225, loss 0.842847, acc 0.6875
2017-05-07T18:15:37.034343: step 226, loss 0.838461, acc 0.671875
2017-05-07T18:15:40.255412: step 227, loss 0.705194, acc 0.71875
2017-05-07T18:15:43.516723: step 228, loss 0.711233, acc 0.703125
2017-05-07T18:15:46.749605: step 229, loss 0.920021, acc 0.703125
2017-05-07T18:15:50.033709: step 230, loss 0.938227, acc 0.546875
2017-05-07T18:15:53.272735: step 231, loss 0.951007, acc 0.625
2017-05-07T18:15:56.553830: step 232, loss 1.00957, acc 0.40625
2017-05-07T18:15:59.771940: step 233, loss 0.803181, acc 0.6875
2017-05-07T18:16:03.005123: step 234, loss 1.07783, acc 0.609375
2017-05-07T18:16:06.236951: step 235, loss 1.18719, acc 0.5
2017-05-07T18:16:09.514080: step 236, loss 0.988546, acc 0.359375
2017-05-07T18:16:12.744801: step 237, loss 1.11242, acc 0.359375
2017-05-07T18:16:15.994531: step 238, loss 0.820151, acc 0.609375
2017-05-07T18:16:19.207359: step 239, loss 0.786247, acc 0.671875
2017-05-07T18:16:22.459813: step 240, loss 0.773523, acc 0.71875
2017-05-07T18:16:25.758202: step 241, loss 0.830022, acc 0.640625
2017-05-07T18:16:29.019914: step 242, loss 0.797095, acc 0.71875
2017-05-07T18:16:32.293543: step 243, loss 0.813932, acc 0.671875
2017-05-07T18:16:35.568255: step 244, loss 0.902985, acc 0.640625
2017-05-07T18:16:38.856250: step 245, loss 0.593893, acc 0.796875
2017-05-07T18:16:42.092152: step 246, loss 1.0029, acc 0.625
2017-05-07T18:16:45.352698: step 247, loss 0.666237, acc 0.71875
2017-05-07T18:16:48.631754: step 248, loss 0.908867, acc 0.609375
2017-05-07T18:16:51.890475: step 249, loss 0.957024, acc 0.5
2017-05-07T18:16:55.119489: step 250, loss 0.972711, acc 0.53125
2017-05-07T18:16:58.375488: step 251, loss 0.734092, acc 0.671875
2017-05-07T18:17:01.618959: step 252, loss 0.833213, acc 0.703125
2017-05-07T18:17:04.865241: step 253, loss 0.921629, acc 0.640625
